lake,town,lat,lon,reports,uncertain,confirmed,note
Tree Farm,Houston,31.40685,-95.60523,26,1,yes,"Houston County, TX - your call"
Horse Creek Ranch,Sulphur Springs,33.13845,-95.60107,26,1,yes,"Hopkins County, Texas - club cluster"
Button Lake,Carbon,32.27069,-98.82867,23,0,,
"Hopkins Lake, Guthrie",OK,35.87894,-97.42532,21,0,,
Cody Ranch: Moonshine Lake,,,,20,0,,
Black Bird Lake,Fairfield,31.72461,-96.16525,19,0,,
Steelwaters,La Grange,29.9055,-96.87665,18,0,,
Hoffer Lake on Indian Creek Farm,Kerens,32.13321,-96.22775,18,0,,
Cody Ranch Peach Creek and Crabgrass Lakes,,,,18,0,,
Neill Ranch,Athens,32.20487,-95.85552,16,0,,
The Bigwood on the Trinity,,,,15,0,,
Backus Ranch,Clarksville,32.52959,-94.90299,14,0,,
Harding Lake,Fairfield,31.72461,-96.16525,14,0,,
Blackberry Creek,Grand Saline,32.67346,-95.70941,14,0,,
The Trailer at Heartland 10-10 Ranch,Marshall,32.54487,-94.36742,13,0,,
Big Lake,Grand Saline,32.67346,-95.70941,13,0,,
Lake TCU,,,,13,0,,
Forbidden Pleasures Ranch,Fedor,30.31604,-97.05276,12,0,,
Sandy's Place,Whitesboro,33.65622,-96.90695,12,0,,
Holly Hill Ranch,Quitman,32.79596,-95.45106,11,1,yes,"Wood County, Texas - club cluster"
Hopkins Lake,,,,11,0,,
Breezy Hill Ranch,Clifton,31.78238,-97.57669,10,1,yes,"Bosque County, Texas - club cluster"
777 Ranch,Hondo,29.34746,-99.14142,9,0,,
Flag Lakes,Jefferson,32.75736,-94.34519,8,0,,
Lake Elizabeth: Broseco Ranch,Mt. Pleasant,,,8,0,,
Big Mikes Treasure,Whitesboro,33.65622,-96.90695,8,0,,
Rooks Lake,Paden,35.50785,-96.56751,8,0,,
Oak Meadow Lake,,,,8,0,,
Travis Lake - (Formerly Flying M),,,,8,0,,
Lake NEY,D'Hanis,29.33051,-99.27976,7,0,,
The Lodge,Coalgate,34.52287,-96.23305,7,0,,
Flying M,,,,7,0,,
Lake Leon,Oakwood,31.58490,-95.84913,6,1,yes,"Leon County, Texas - club cluster"
Parker Branch Lake,Canton,32.55652,-95.8633,6,0,,
The Cabin,Coalgate,34.53815,-96.21861,6,0,,
Triple Creek Ranch,Bedias,30.77599,-95.95047,6,0,,
Kawakita Deloach Ranch,Taylor,30.57076,-97.40944,6,0,,
Cody Ranch Twin Lakes,,,,6,0,,
China Grove,Canton,32.55652,-95.8633,5,0,,
Ashwood Palms,Matagorda,28.69082,-95.96746,5,1,yes,"Matagorda County, Texas - club cluster"
The Owners Retreat at Heartland 10-10 Ranch,Marshall,32.54487,-94.36742,5,0,,
San Jacinto Bend,Conroe,30.31188,-95.45605,5,0,,
Lone Star Lake,Ennis,32.32798,-96.66425,4,0,,
Lake Godstone,Jacksboro,33.23093,-98.14517,4,0,,
Holmes Lake,Troy,31.20684,-97.30278,3,1,yes,"Bell County, Texas - club cluster"
Mewbourn Ranch,Martins Mill,32.41625,-95.79024,3,0,,
R Three Ranch,Seven Points,32.32042,-96.21303,3,0,,
Nix Ranch Lake TCU,,,,3,0,,
Chalk Mountain Lake,Walnut Springs,32.05765,-97.74947,2,1,yes,"Bosque County, Texas - club cluster"
Claud Ayres Reservoir,Vernon,34.15536,-99.26628,2,1,yes,"Wilbarger County County, Texas - club cluster"
Cody Ranch The Lodge,,,,2,0,,
Cody Ranch The Cabin,,,,1,0,,
Hickory creek Ranch,,,,1,0,,
