  [lakes] 20/167 ( 12.0%)  ok=17 missing=6 failed=0
  [lakes] 40/167 ( 24.0%)  ok=27 missing=24 failed=0
  [lakes] 60/167 ( 35.9%)  ok=40 missing=40 failed=0
  [lakes] 80/167 ( 47.9%)  ok=49 missing=62 failed=0
  [lakes] 100/167 ( 59.9%)  ok=58 missing=82 failed=0
  [lakes] 120/167 ( 71.9%)  ok=63 missing=114 failed=0
  [lakes] 140/167 ( 83.8%)  ok=74 missing=134 failed=0
  [lakes] 160/167 ( 95.8%)  ok=77 missing=159 failed=0
  [lakes] 167/167 (100.0%)  ok=78 missing=170 failed=0
{'ok': 78, 'missing': 170, 'failed': 0, 'lakes_hit': 78, 'lakes_missed': 89}
